date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1633046400000,2021,4,9,871863,5196,877059
1633046400000,2021,4,10,950827,1843,952670
1633046400000,2021,4,11,1201753,4084,10205837
1633046400000,2021,4,12,983142,30721,1013863
1633046400000,2021,4,13,648641,395,649036
1633046400000,2021,4,14,1561298,19073,1580371
1633046400000,2021,4,15,50289,845,51134
1633046400000,2021,4,16,55806,275,56081
1633046400000,2021,4,18,11483721,88755,11572476
1633046400000,2021,4,19,9280852,81983,9362835
1640995200000,2022,1,1,928703,14127,942830
1640995200000,2022,1,2,539119,10012,549131
1640995200000,2022,1,3,223797,1300,225097
1640995200000,2022,1,4,506180,4916,511096
1640995200000,2022,1,5,231641,5730,237371
1640995200000,2022,1,6,1293345,5953,1299298
1640995200000,2022,1,7,684330,2810,687140
1640995200000,2022,1,8,55621,451,56072
1640995200000,2022,1,9,605618,13371,618989
1640995200000,2022,1,10,763724,2852,766576
1640995200000,2022,1,11,970337,8177,978514
1640995200000,2022,1,12,591364,62217,653581
1640995200000,2022,1,13,546383,1610,547993
1640995200000,2022,1,14,965970,39725,1005695
1640995200000,2022,1,15,53992,2600,56592
1640995200000,2022,1,16,57038,656,57694
1640995200000,2022,1,18,9017162,176507,9193669
1640995200000,2022,1,19,7229109,162878,7391987
1648771200000,2022,2,1,1612973,481796,2094769
1648771200000,2022,2,2,880626,94360,974986
1648771200000,2022,2,3,367069,7490,374559
1648771200000,2022,2,4,868457,138162,1006619
1648771200000,2022,2,5,493069,20544,513613
1648771200000,2022,2,6,2480323,472440,2952763
1648771200000,2022,2,7,1139335,75119,1214454
1648771200000,2022,2,8,61835,1261,63096
1648771200000,2022,2,9,1162113,221354,1383467
1648771200000,2022,2,10,1342218,101025,1443243
1648771200000,2022,2,11,1574665,82876,1657541
1648771200000,2022,2,12,1421083,400816,1821899
1648771200000,2022,2,13,728283,14861,743144
1648771200000,2022,2,14,2273035,883958,3156993
1648771200000,2022,2,15,97113,8444,105557
1648771200000,2022,2,16,97496,14568,112064
1648771200000,2022,2,18,16599693,3019074,19618767
1648771200000,2022,2,19,13585697,2826729,16412426
1656633600000,2022,3,1,1621192,662177,2283369
1656633600000,2022,3,2,837529,236226,1073755
1656633600000,2022,3,3,365004,15208,380212
1656633600000,2022,3,4,907779,160196,1067975
1656633600000,2022,3,5,517241,21551,538792
1656633600000,2022,3,6,2165422,575618,2741040
