date,year,quarter_quarterly,state_id,aor_quarter
1688169600000,2023,3,14,57.9
1688169600000,2023,3,15,36.4
1688169600000,2023,3,16,53.2
1688169600000,2023,3,18,53.6
1696118400000,2023,4,1,53.8
1696118400000,2023,4,2,47.5
1696118400000,2023,4,3,39.4
1696118400000,2023,4,4,49.0
1696118400000,2023,4,5,45.3
1696118400000,2023,4,6,76.6
1696118400000,2023,4,7,53.8
1696118400000,2023,4,8,47.9
1696118400000,2023,4,9,59.6
1696118400000,2023,4,10,51.8
1696118400000,2023,4,11,52.3
1696118400000,2023,4,12,51.6
1696118400000,2023,4,13,47.4
1696118400000,2023,4,14,62.9
1696118400000,2023,4,15,34.8
1696118400000,2023,4,16,58.7
1696118400000,2023,4,18,56.6
1704067200000,2024,1,1,46.6
1704067200000,2024,1,2,47.1
1704067200000,2024,1,3,45.2
1704067200000,2024,1,4,44.7
1704067200000,2024,1,5,39.3
1704067200000,2024,1,6,73.0
1704067200000,2024,1,7,46.4
1704067200000,2024,1,8,43.3
1704067200000,2024,1,9,53.2
1704067200000,2024,1,10,52.2
1704067200000,2024,1,11,42.7
1704067200000,2024,1,12,47.0
1704067200000,2024,1,13,41.3
1704067200000,2024,1,14,61.1
1704067200000,2024,1,15,32.2
1704067200000,2024,1,16,56.0
1704067200000,2024,1,18,52.6
1711929600000,2024,2,1,51.7
1711929600000,2024,2,2,42.5
1711929600000,2024,2,3,42.0
1711929600000,2024,2,4,40.8
1711929600000,2024,2,5,36.1
1711929600000,2024,2,6,76.3
1711929600000,2024,2,7,43.2
1711929600000,2024,2,8,38.4
1711929600000,2024,2,9,53.7
1711929600000,2024,2,10,47.9
1711929600000,2024,2,11,43.8
1711929600000,2024,2,12,48.3
1711929600000,2024,2,13,47.7
1711929600000,2024,2,14,59.6
1711929600000,2024,2,15,32.7
1711929600000,2024,2,16,54.7
1711929600000,2024,2,18,52.5
1719792000000,2024,3,1,56.3
1719792000000,2024,3,2,49.0
1719792000000,2024,3,3,48.4
1719792000000,2024,3,4,46.3
1719792000000,2024,3,5,48.1
1719792000000,2024,3,6,76.5
1719792000000,2024,3,7,48.1
1719792000000,2024,3,8,40.1
1719792000000,2024,3,9,59.5
1719792000000,2024,3,10,56.7
1719792000000,2024,3,11,54.9
