date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1656633600000,2022,3,6,5939090,1054011,6993101
1656633600000,2022,3,7,3094984,173619,3268603
1656633600000,2022,3,8,182997,3049,186046
1656633600000,2022,3,9,2982277,707048,3689325
1656633600000,2022,3,10,3520584,315260,3835844
1656633600000,2022,3,11,4214384,297381,4511765
1656633600000,2022,3,12,3566418,1009022,4575440
1656633600000,2022,3,13,2072155,67374,2139529
1656633600000,2022,3,14,5645988,2337308,7983296
1656633600000,2022,3,15,260958,20596,281554
1656633600000,2022,3,16,280887,32453,313340
1656633600000,2022,3,18,42661101,7890916,50552017
1656633600000,2022,3,19,34665175,7257679,41922854
1664582400000,2022,5,1,5730117,2039675,7769792
1664582400000,2022,5,2,3214369,589439,3803808
1664582400000,2022,5,3,1267208,36969,1304177
1664582400000,2022,5,4,3275627,536249,3811876
1664582400000,2022,5,5,1887811,89048,1976859
1664582400000,2022,5,6,8329953,1689554,10019507
1664582400000,2022,5,7,4387020,333306,4720326
1664582400000,2022,5,8,264470,4709,269179
1664582400000,2022,5,9,4327806,1256628,5584434
1664582400000,2022,5,10,4731974,677103,5409077
1664582400000,2022,5,11,5676138,618251,6294389
1664582400000,2022,5,12,5170158,1572497,6742655
1664582400000,2022,5,13,2701850,86846,2788696
1664582400000,2022,5,14,8330471,4281244,12611715
1664582400000,2022,5,15,354819,31025,385844
1664582400000,2022,5,16,398834,56610,455444
1664582400000,2022,5,18,60048624,13899153,73947777
1664582400000,2022,5,19,49285693,12572774,61858467
1672531200000,2023,1,1,1686541,475689,2162230
1672531200000,2023,1,2,687424,332299,1019723
1672531200000,2023,1,3,344696,14361,359057
1672531200000,2023,1,4,863000,324965,1187965
1672531200000,2023,1,5,509964,56661,566625
1672531200000,2023,1,6,2620635,645354,3265989
1672531200000,2023,1,7,1053223,130171,1183394
1672531200000,2023,1,8,79377,1619,80996
1672531200000,2023,1,9,1162653,408498,1571151
1672531200000,2023,1,10,1114466,500701,1615167
1672531200000,2023,1,11,1248604,237828,1486432
1672531200000,2023,1,12,1505986,560848,2066834
1672531200000,2023,1,13,646793,26948,673741
1672531200000,2023,1,14,2615280,1817398,4432678
1672531200000,2023,1,15,85738,10596,96334
1672531200000,2023,1,16,120234,28203,148437
1672531200000,2023,1,18,16344614,5572139,21916753
1672531200000,2023,1,19,13895806,4823014,18718820
1680307200000,2023,2,1,3039457,1415851,4455308
1680307200000,2023,2,2,1357094,662136,2019230
1680307200000,2023,2,3,662957,31112,694069
1680307200000,2023,2,4,1564201,728503,2292704
1680307200000,2023,2,5,975928,142134,1118061
1680307200000,2023,2,6,5195722,1503716,6699438
1680307200000,2023,2,7,2093246,276486,2369732
1680307200000,2023,2,8,146034,3328,149362
1680307200000,2023,2,9,2170912,1109152,3280064
1680307200000,2023,2,10,2080426,1044054,3124480
1680307200000,2023,2,11,2465423,521402,2986825
1680307200000,2023,2,12,2915415,1128827,4044241
1680307200000,2023,2,13,1267573,59621,1327194
1680307200000,2023,2,14,4616772,4074400,8691172
1680307200000,2023,2,15,169927,24301,194229
1680307200000,2023,2,16,227049,56597,283646
1680307200000,2023,2,18,30948135,12781619,43729753
1680307200000,2023,2,19,26232360,11191863,37424223
